time=58293ms


BODY: left=0,top=0,right=1423,bottom=8621; DOM="[object HTMLBodyElement]"
DIV: left=604,top=1448,right=905,bottom=1468; DOM="[object HTMLDivElement]"

DIV: left=604,top=1468,right=905,bottom=1488; DOM="[object HTMLDivElement]"

DIV: left=604,top=1488,right=905,bottom=1508; DOM="[object HTMLDivElement]"

DIV: left=242,top=1332,right=424,bottom=1514; DOM="[object HTMLDivElement]"

DIV: left=242,top=1332,right=424,bottom=1514; DOM="[object HTMLDivElement]"

DIV: left=242,top=1332,right=424,bottom=1514; DOM="[object HTMLDivElement]"

A: left=242,top=1332,right=422,bottom=1512; DOM="http://www.alibaba.com/product-detail/635nm-laser-weight-loss-machine-fat_1903037179.html?s=p"

DIV: left=922,top=1332,right=1202,bottom=1448; DOM="[object HTMLDivElement]"

DIV: left=938,top=1326,right=1202,bottom=1448; DOM="[object HTMLDivElement]"

DIV: left=938,top=1326,right=1202,bottom=1350; DOM="[object HTMLDivElement]"

DIV: left=938,top=1354,right=1202,bottom=1372; DOM="[object HTMLDivElement]"

SPAN: left=1045,top=1355,right=1172,bottom=1373; DOM="[object HTMLSpanElement]"

DIV: left=938,top=1377,right=1202,bottom=1395; DOM="[object HTMLDivElement]"

DIV: left=938,top=1377,right=1202,bottom=1395; DOM="[object HTMLDivElement]"

UL: left=938,top=1407,right=1202,bottom=1449; DOM="[object HTMLUListElement]"

LI: left=938,top=1407,right=1084,bottom=1449; DOM="[object HTMLLIElement]"

DIV: left=938,top=1407,right=1084,bottom=1427; DOM="[object HTMLDivElement]"

LI: left=1094,top=1407,right=1176,bottom=1449; DOM="[object HTMLLIElement]"

DIV: left=242,top=1526,right=1202,bottom=1558; DOM="[object HTMLDivElement]"

DIV: left=242,top=1526,right=1202,bottom=1554; DOM="[object HTMLDivElement]"

DIV: left=242,top=1526,right=922,bottom=1554; DOM="[object HTMLDivElement]"

DIV: left=242,top=1526,right=906,bottom=1554; DOM="[object HTMLDivElement]"

