time=7305ms


BODY: left=0,top=0,right=1423,bottom=7490; DOM="[object HTMLBodyElement]"
DIV: left=351,top=1761,right=576,bottom=1896; DOM="[object HTMLDivElement]"

DIV: left=351,top=1761,right=576,bottom=1896; DOM="[object HTMLDivElement]"

DIV: left=351,top=1761,right=578,bottom=1896; DOM="[object HTMLDivElement]"

A: left=351,top=1761,right=576,bottom=1894; DOM="http://www.ebay.co.uk/itm/2-x-SONY-PSP-Promo-Games-NEW-Gran-Turismo-Buzz-Quiz-World-/232223097892?hash=item3611934424:g:r-gAAOSw241Yj7eT"

H3: left=591,top=1759,right=1120,bottom=1779; DOM="[object HTMLHeadingElement]"
UL: left=591,top=1781,right=776,bottom=1864; DOM="[object HTMLUListElement]"
UL: left=776,top=1781,right=1091,bottom=1827; DOM="[object HTMLUListElement]"

H3: left=591,top=1759,right=1120,bottom=1779; DOM="[object HTMLHeadingElement]"

UL: left=591,top=1781,right=776,bottom=1864; DOM="[object HTMLUListElement]"

LI: left=591,top=1789,right=768,bottom=1811; DOM="[object HTMLLIElement]"

LI: left=591,top=1811,right=768,bottom=1832; DOM="[object HTMLLIElement]"

LI: left=591,top=1832,right=768,bottom=1852; DOM="[object HTMLLIElement]"

SPAN: left=591,top=1834,right=685,bottom=1849; DOM="[object HTMLSpanElement]"

UL: left=776,top=1781,right=1091,bottom=1827; DOM="[object HTMLUListElement]"

LI: left=784,top=1789,right=1092,bottom=1817; DOM="[object HTMLLIElement]"

SPAN: left=789,top=1794,right=932,bottom=1812; DOM="[object HTMLSpanElement]"

SPAN: left=789,top=1794,right=932,bottom=1812; DOM="[object HTMLSpanElement]"

DIV: left=351,top=1919,right=576,bottom=2144; DOM="[object HTMLDivElement]"

DIV: left=351,top=1919,right=576,bottom=2144; DOM="[object HTMLDivElement]"

DIV: left=351,top=1919,right=578,bottom=2146; DOM="[object HTMLDivElement]"

A: left=351,top=1919,right=576,bottom=2144; DOM="http://www.ebay.co.uk/itm/The-World-Ends-With-You-Game-DS-Brand-new-/331984649192?hash=item4d4bd3bbe8:g:DyoAAOSw4shX69En"

H3: left=591,top=1917,right=1120,bottom=1937; DOM="[object HTMLHeadingElement]"
UL: left=591,top=1939,right=776,bottom=2039; DOM="[object HTMLUListElement]"
UL: left=776,top=1939,right=1091,bottom=1957; DOM="[object HTMLUListElement]"

H3: left=591,top=1917,right=1120,bottom=1937; DOM="[object HTMLHeadingElement]"

UL: left=591,top=1939,right=776,bottom=2039; DOM="[object HTMLUListElement]"

LI: left=591,top=1947,right=768,bottom=1969; DOM="[object HTMLLIElement]"

LI: left=591,top=1969,right=768,bottom=1991; DOM="[object HTMLLIElement]"

SPAN: left=591,top=1960,right=645,bottom=1975; DOM="[object HTMLSpanElement]"

LI: left=591,top=1991,right=768,bottom=2011; DOM="[object HTMLLIElement]"

SPAN: left=591,top=1993,right=675,bottom=2008; DOM="[object HTMLSpanElement]"

SPAN: left=591,top=1993,right=675,bottom=2008; DOM="[object HTMLSpanElement]"

DIV: left=591,top=2023,right=768,bottom=2039; DOM="[object HTMLDivElement]"

DIV: left=351,top=2167,right=576,bottom=2392; DOM="[object HTMLDivElement]"

DIV: left=351,top=2167,right=576,bottom=2392; DOM="[object HTMLDivElement]"

DIV: left=351,top=2167,right=578,bottom=2394; DOM="[object HTMLDivElement]"

A: left=351,top=2167,right=576,bottom=2392; DOM="http://www.ebay.co.uk/itm/PlayStation-VR-Worlds-PS4-Game-PSVR-Required-Brand-New-/351959438855?hash=item51f26ad607:g:GbIAAOSwCGVX5cz%7E"

H3: left=591,top=2165,right=1120,bottom=2185; DOM="[object HTMLHeadingElement]"
UL: left=591,top=2187,right=776,bottom=2287; DOM="[object HTMLUListElement]"
UL: left=776,top=2187,right=1091,bottom=2237; DOM="[object HTMLUListElement]"

H3: left=591,top=2165,right=1120,bottom=2185; DOM="[object HTMLHeadingElement]"

UL: left=591,top=2187,right=776,bottom=2287; DOM="[object HTMLUListElement]"

LI: left=591,top=2195,right=768,bottom=2217; DOM="[object HTMLLIElement]"

LI: left=591,top=2217,right=768,bottom=2239; DOM="[object HTMLLIElement]"

SPAN: left=591,top=2208,right=645,bottom=2223; DOM="[object HTMLSpanElement]"

LI: left=591,top=2239,right=768,bottom=2259; DOM="[object HTMLLIElement]"

SPAN: left=591,top=2241,right=675,bottom=2256; DOM="[object HTMLSpanElement]"

SPAN: left=591,top=2241,right=675,bottom=2256; DOM="[object HTMLSpanElement]"

DIV: left=591,top=2271,right=768,bottom=2287; DOM="[object HTMLDivElement]"

UL: left=776,top=2187,right=1091,bottom=2237; DOM="[object HTMLUListElement]"

LI: left=784,top=2195,right=1092,bottom=2228; DOM="[object HTMLLIElement]"

SPAN: left=789,top=2200,right=907,bottom=2223; DOM="[object HTMLSpanElement]"

DIV: left=351,top=2415,right=576,bottom=2543; DOM="[object HTMLDivElement]"

DIV: left=351,top=2415,right=576,bottom=2543; DOM="[object HTMLDivElement]"

DIV: left=351,top=2415,right=578,bottom=2543; DOM="[object HTMLDivElement]"

A: left=351,top=2415,right=576,bottom=2541; DOM="http://www.ebay.co.uk/itm/33-PlayStation-2-games-PAL-GOOD-CONDITION-COMPLETE-SEALED-SOME-RARE-/262838259324?var=&hash=item3d32618e7c:m:mJs_JYYM8Jb3gssBQBQ1oKw"

H3: left=591,top=2413,right=1120,bottom=2453; DOM="[object HTMLHeadingElement]"
UL: left=591,top=2455,right=776,bottom=2539; DOM="[object HTMLUListElement]"
UL: left=776,top=2455,right=1091,bottom=2501; DOM="[object HTMLUListElement]"

H3: left=591,top=2413,right=1120,bottom=2453; DOM="[object HTMLHeadingElement]"

UL: left=591,top=2455,right=776,bottom=2539; DOM="[object HTMLUListElement]"

LI: left=591,top=2463,right=768,bottom=2485; DOM="[object HTMLLIElement]"

SPAN: left=591,top=2462,right=724,bottom=2486; DOM="[object HTMLSpanElement]"

SPAN: left=591,top=2462,right=724,bottom=2486; DOM="[object HTMLSpanElement]"

LI: left=591,top=2485,right=768,bottom=2507; DOM="[object HTMLLIElement]"

SPAN: left=591,top=2476,right=645,bottom=2491; DOM="[object HTMLSpanElement]"

LI: left=591,top=2507,right=768,bottom=2527; DOM="[object HTMLLIElement]"

SPAN: left=591,top=2509,right=685,bottom=2524; DOM="[object HTMLSpanElement]"

UL: left=776,top=2455,right=1091,bottom=2501; DOM="[object HTMLUListElement]"

DIV: left=351,top=2566,right=576,bottom=2737; DOM="[object HTMLDivElement]"

DIV: left=351,top=2566,right=576,bottom=2737; DOM="[object HTMLDivElement]"

DIV: left=351,top=2566,right=578,bottom=2737; DOM="[object HTMLDivElement]"

A: left=351,top=2566,right=576,bottom=2735; DOM="http://www.ebay.co.uk/itm/Nintendo-Gamecube-Pal-Game-with-Box-2002-FIFA-WORLD-CUP-/172520243502?hash=item282b02012e:g:Um8AAOSw241Ymjfa"

H3: left=591,top=2564,right=1120,bottom=2604; DOM="[object HTMLHeadingElement]"
UL: left=591,top=2606,right=776,bottom=2689; DOM="[object HTMLUListElement]"
UL: left=776,top=2606,right=1091,bottom=2684; DOM="[object HTMLUListElement]"

H3: left=591,top=2564,right=1120,bottom=2604; DOM="[object HTMLHeadingElement]"

A: left=591,top=2565,right=1100,bottom=2604; DOM="http://www.ebay.co.uk/itm/Nintendo-Gamecube-Pal-Game-with-Box-2002-FIFA-WORLD-CUP-/172520243502?hash=item282b02012e:g:Um8AAOSw241Ymjfa"

UL: left=591,top=2606,right=776,bottom=2689; DOM="[object HTMLUListElement]"

LI: left=591,top=2614,right=768,bottom=2636; DOM="[object HTMLLIElement]"

LI: left=591,top=2636,right=768,bottom=2657; DOM="[object HTMLLIElement]"

LI: left=591,top=2657,right=768,bottom=2677; DOM="[object HTMLLIElement]"

SPAN: left=591,top=2659,right=675,bottom=2674; DOM="[object HTMLSpanElement]"

SPAN: left=591,top=2659,right=675,bottom=2674; DOM="[object HTMLSpanElement]"

UL: left=776,top=2606,right=1091,bottom=2684; DOM="[object HTMLUListElement]"

LI: left=784,top=2614,right=1092,bottom=2642; DOM="[object HTMLLIElement]"

SPAN: left=789,top=2619,right=932,bottom=2637; DOM="[object HTMLSpanElement]"

SPAN: left=789,top=2619,right=932,bottom=2637; DOM="[object HTMLSpanElement]"

LI: left=784,top=2642,right=1092,bottom=2675; DOM="[object HTMLLIElement]"

SPAN: left=789,top=2647,right=907,bottom=2670; DOM="[object HTMLSpanElement]"

DIV: left=351,top=2760,right=576,bottom=2931; DOM="[object HTMLDivElement]"

